Original Title,Title on Google Scholar,DOI,Year,Citation Link,Citation Counts on Google Scholar,orig_t_processed,gscholar_t_processed,simi_score
What You Don't Know Won't Hurt Me:: Impression Management Functions of Communication Channels in Relationships,[BOOK] What you don't know won't hurt me: strategic self-presentational uses of interpersonal communication technology in close relationships,10.1111/j.1468-2958.2000.tb00763.x,2000,"https://scholar.google.com/scholar?q=related:M2j0-uUn-3oJ:scholar.google.com/&scioq=What+You+Don%27t+Know+Won%27t+Hurt+Me::+Impression+Management+Functions+of+Communication+Channels+in+Relationships,+Human+Communication+Research,+Patrick+B.+O%27Sullivan&hl=en&as_sdt=0,50",0,what you don t know won t hurt me impression management functions of communication channels in relationships,book what you don t know won t hurt me strategic self presentational uses of interpersonal communication technology in close relationships,0.6991869918699187
Strategies at the Edge: Negotiating Relational Borders,Colloquy: Strategies at the Edge: Negotiating Relational Borders.,10.1111/j.1468-2958.2000.tb00767.x,2000,"https://scholar.google.com/scholar?cites=13426260746037498544&as_sdt=5,50&sciodt=0,50&hl=en",2,strategies at the edge negotiating relational borders,colloquy strategies at the edge negotiating relational borders,0.9217391304347826
The Role of Source Confusion in Cultivation Effects May Depend on Processing Strategy: A Comment on Mares (1996),The role of source confusions in television's cultivation of social reality judgments,10.1111/j.1468-2958.1997.tb00418.x,1997,"https://scholar.google.com/scholar?cites=4895478009774518378&as_sdt=5,50&sciodt=0,50&hl=en",142,the role of source confusion in cultivation effects may depend on processing strategy a comment on mares,the role of source confusions in television s cultivation of social reality judgments,0.582010582010582
Anticipated Ongoing Interaction versus Channel Effects on Relational Communication in Computer-Mediated Interaction,Relational communication in computer‐mediated interaction,10.1111/j.1468-2958.1994.tb00332.x,1994,"https://scholar.google.com/scholar?cites=6307154257003270549&as_sdt=5,50&sciodt=0,50&hl=en",1877,anticipated ongoing interaction versus channel effects on relational communication in computer mediated interaction,relational communication in computer mediated interaction,0.6627906976744186
Normative Images of Communication Media: Mass and Interpersonal Channels in the New Media Environment,Normative images of communication media mass and interpersonal channels in the new media environment: mass and interpersonal channels in the new media …,10.1111/j.1468-2958.1993.tb00310.x,1993,"https://scholar.google.com/scholar?cites=245136315679061924&as_sdt=5,50&sciodt=0,50&hl=en",403,normative images of communication media mass and interpersonal channels in the new media environment,normative images of communication media mass and interpersonal channels in the new media environment mass and interpersonal channels in the new media,0.8032128514056225
We Interrupt This Program …: Attention for Television Sequences,We Interrupt This Program. Attention for Television Sequences: Attention for Television Sequences,10.1111/j.1468-2958.1993.tb00306.x,1993,"https://scholar.google.com/scholar?cites=2161533459992896404&as_sdt=5,50&sciodt=0,50&hl=en",49,we interrupt this program attention for television sequences,we interrupt this program attention for television sequences attention for television sequences,0.7741935483870968
The Effects of Vocalics and Nonverbal Sensitivity on Compliance: A Speech Accommodation Theory Explanation,The effects of vocalics and nonverbal sensitivity on compliance: A replication and extension,10.1111/j.1468-2958.1988.tb00159.x,1988,"https://scholar.google.com/scholar?cites=16337415199481840596&as_sdt=5,50&sciodt=0,50&hl=en",110,the effects of vocalics and nonverbal sensitivity on compliance a speech accommodation theory explanation,the effects of vocalics and nonverbal sensitivity on compliance a replication and extension,0.826530612244898
Male/Female Language Differences and Attributional Consequences in Children's Television,Male/female language differences and attributional consequences in a public speaking situation: Toward an explanation of the gender‐linked language effect,10.1111/j.1468-2958.1985.tb00057.x,1985,"https://scholar.google.com/scholar?cites=1738745688784487025&as_sdt=5,50&sciodt=0,50&hl=en",165,male female language differences and attributional consequences in children s television,male female language differences and attributional consequences in a public speaking situation toward an explanation of the gender linked language effect,0.6224066390041494
Events that Increase Uncertainty in Personal Relationships,Events that increase uncertainty in personal relationships sally planalp,10.1111/j.1468-2958.1985.tb00062.x,1985,"https://scholar.google.com/scholar?cites=2523659644156259822&as_sdt=5,50&sciodt=0,50&hl=en",429,events that increase uncertainty in personal relationships,events that increase uncertainty in personal relationships sally planalp,0.8923076923076924
Talk and Silence Sequences in Informal Conversations II,Talk and silence sequences in informal conversations III: Interspeaker influence,10.1111/j.1468-2958.1980.tb00133.x,1980,"https://scholar.google.com/scholar?cites=8548896140461185951&as_sdt=5,50&sciodt=0,50&hl=en",421,talk and silence sequences in informal conversations ii,talk and silence sequences in informal conversations iii interspeaker influence,0.8208955223880597
Measures of Communication Satisfaction,"[PDF] Hecht. Michael L. MEASURES OF COMMUNICATION SATISFACTION, Human Communication Research, 4: 4 (1978: Summer) p. 350",10.1111/j.1468-2958.1978.tb00721.x,1978,"https://scholar.google.com/scholar?cites=4395684471548100945&as_sdt=5,50&sciodt=0,50&hl=en",337,measures of communication satisfaction,hecht michael l measures of communication satisfaction human communication research summer p,0.5846153846153846
Children’s Perceptions of Television Characters,[BOOK] Children's perceptions of television characters,10.1111/j.1468-2958.1977.tb00510.x,1977,"https://scholar.google.com/scholar?cites=14463971054107168481&as_sdt=5,50&sciodt=0,50&hl=en",2,children s perceptions of television characters,book children s perceptions of television characters,0.9494949494949495
"The Effects of Observer Expectations, Task Ambiguity, and Medium of Presentation on Low- and High-Inference Judgments of Communicative Behavior","THE EFFECTS OF OBSERVER EXPECTATIONS, TASK AMBIGUITY, AND MEDIUM OF PRESENTATION ON LOW‐AND HIGH‐INFERENCE JUDGMENTS OF …",10.1111/j.1468-2958.1975.tb00260.x,1975,"https://scholar.google.com/scholar?cites=10837362167816252454&as_sdt=5,50&sciodt=0,50&hl=en",8,the effects of observer expectations task ambiguity and medium of presentation on low and high inference judgments of communicative behavior,the effects of observer expectations task ambiguity and medium of presentation on low and high inference judgments of,0.9105058365758755
Organizational Crisis Communication: Suboptimal Crisis Response Selection Decisions and Behavioral Economics,[CITATION] Suboptimal crisis response selection decisions and behavioral economics,10.1093/ct/qtz002,2020,"https://scholar.google.com/scholar?q=related:wnq6HnfkV0IJ:scholar.google.com/&scioq=Organizational+Crisis+Communication:+Suboptimal+Crisis+Response+Selection+Decisions+and+Behavioral+Economics,+Communication+Theory,+An-Sofie+Claeys&hl=en&as_sdt=0,50",0,organizational crisis communication suboptimal crisis response selection decisions and behavioral economics,suboptimal crisis response selection decisions and behavioral economics,0.797752808988764
"Here and There: (Re)Situating Latin America in International Communication Theory:
Aquí y allá: (re)situando a América Latina en la teoría de la comunicación internacional
Aqui e lá: (re)situando a América Latina na teoria da comunicação internacional",Here and There:(Re) Situating Latin America in International Communication Theory: Aquí y allá:(re) situando a América Latina en la teoría de la comunicación …,10.1093/ct/qty005,2018,"https://scholar.google.com/scholar?cites=1582565330802632575&as_sdt=5,50&sciodt=0,50&hl=en",50,here and there re situating latin america in international communication theory aqu y all re situando a am rica latina en la teor a de la comunicaci n internacional aqui e l re situando a am rica latina na teoria da comunica o internacional,here and there re situating latin america in international communication theory aqu y all re situando a am rica latina en la teor a de la comunicaci n,0.7692307692307693
"A Latin American Approach to Mediatization: Specificities and Contributions to a Global Discussion About How the Media Shape Contemporary Societies:
Un enfoque latinoamericano de la mediatización: especificidades y contribuciones a una discusión global sobre cómo los medios dan forma a las sociedades contemporáneas
Midiatização sob uma abordagem latino-americana: especificidades e contribuições para uma discussão global sobre como os meios de comunicação vem delineando as sociedades contemporâneas",A Latin American Approach to Mediatization: Specificities and Contributions to a Global Discussion About How the Media Shape Contemporary Societies: Un enfoque …,10.1093/ct/qtx004,2018,"https://scholar.google.com/scholar?cites=12382378694828835180&as_sdt=5,50&sciodt=0,50&hl=en",24,a latin american approach to mediatization specificities and contributions to a global discussion about how the media shape contemporary societies un enfoque latinoamericano de la mediatizaci n especificidades y contribuciones a una discusi n global sobre c mo los medios dan forma a las sociedades contempor neas midiatiza o sob uma abordagem latino americana especificidades e contribui es para uma discuss o global sobre como os meios de comunica o vem delineando as sociedades contempor neas,a latin american approach to mediatization specificities and contributions to a global discussion about how the media shape contemporary societies un enfoque,0.4815950920245399
"From Media to Buen Vivir: Latin American Approaches to Indigenous Communication:
De los medios al Buen Vivir: enfoques latinoamericanos de la comunicación indígena
Das Mídias ao Buen Vivir: Abordagens Latino-Americanas para a Comunicação Indígena",From Media to Buen Vivir: Latin American Approaches to Indigenous Communication: De los medios al Buen Vivir: enfoques latinoamericanos de la comunicación …,10.1093/ct/qty004,2018,"https://scholar.google.com/scholar?cites=6912318797697623810&as_sdt=5,50&sciodt=0,50&hl=en",28,from media to buen vivir latin american approaches to indigenous communication de los medios al buen vivir enfoques latinoamericanos de la comunicaci n ind gena das m dias ao buen vivir abordagens latino americanas para a comunica o ind gena,from media to buen vivir latin american approaches to indigenous communication de los medios al buen vivir enfoques latinoamericanos de la comunicaci n,0.7704081632653061
"Communication Research in Argentina (2001–2015): Between Expansion and Intellectual Intervention:
Investigación en comunicación en la Argentina (2001-2015): entre la expansión y la intervención intelectual
A pesquisa em comunicação na Argentina (2001-2015) – Entre expansão e intervenção intelectual",Communication Research in Argentina (2001–2015): Between Expansion and Intellectual Intervention: Investigación en comunicación en la Argentina (2001-2015) …,10.1093/ct/qtx012,2018,"https://scholar.google.com/scholar?cites=10881942375483694672&as_sdt=5,50&sciodt=0,50&hl=en",6,communication research in argentina between expansion and intellectual intervention investigaci n en comunicaci n en la argentina entre la expansi n y la intervenci n intelectual a pesquisa em comunica o na argentina entre expans o e interven o intelectual,communication research in argentina between expansion and intellectual intervention investigaci n en comunicaci n en la argentina,0.6701298701298701
"Transnational Feminism, Global Governance, and the Reimagination of the Organization–Society Relationship: A Case Study of the Women's Environment and Development Organization","Transnational feminism, global governance, and the reimagination of the organization–society relationship: A case study of the Women's Environment and …",10.1111/comt.12063,2015,"https://scholar.google.com/scholar?cites=1136612424030538942&as_sdt=5,50&sciodt=0,50&hl=en",20,transnational feminism global governance and the reimagination of the organization society relationship a case study of the women s environment and development organization,transnational feminism global governance and the reimagination of the organization society relationship a case study of the women s environment and,0.9216300940438872
"Listening, Thinking, Being","[BOOK] Listening, thinking, being: Toward an ethics of attunement",10.1111/j.1468-2885.2010.01366.x,2010,"https://scholar.google.com/scholar?cites=1868176408513942624&as_sdt=5,50&sciodt=0,50&hl=en",198,listening thinking being,book listening thinking being toward an ethics of attunement,0.5714285714285714
Of Glitch and Men: The Place of the Human in the Successful Integration of Failure and Noise in the Digital Realm,German Abstract,10.1111/j.1468-2885.2007.00286.x,2007,"https://scholar.google.com/scholar?cites=9113339019408785925&as_sdt=5,50&sciodt=0,50&hl=en",41,of glitch and men the place of the human in the successful integration of failure and noise in the digital realm,german abstract,0.15748031496062992
To Identify or Not to Identify: A Theoretical Model of Receiver Responses to Anonymous Communication,(Dis) connections in anonymous communication theory: Exploring conceptualizations of anonymity in communication research,10.1111/j.1468-2885.2007.00288.x,2007,"https://scholar.google.com/scholar?cites=140903613910400572&as_sdt=5,50&sciodt=0,50&hl=en",5,to identify or not to identify a theoretical model of receiver responses to anonymous communication,dis connections in anonymous communication theory exploring conceptualizations of anonymity in communication research,0.2962962962962963
Flow and Media Enjoyment,[CITATION] Flow and media enjoyment. Communication Theory,10.1111/j.1468-2885.2004.tb00318.x,2004,"https://scholar.google.com/scholar?cites=17139255159220639187&as_sdt=5,50&sciodt=0,50&hl=en",3,flow and media enjoyment,flow and media enjoyment communication theory,0.6956521739130435
Organizing for Social Change Through Cooperative Action:,Organizing for social change through cooperative action: The [dis] empowering dimensions of women's communication,10.1111/j.1468-2885.2000.tb00181.x,2000,"https://scholar.google.com/scholar?cites=9341386009733490148&as_sdt=5,50&sciodt=0,50&hl=en",79,organizing for social change through cooperative action,organizing for social change through cooperative action the dis empowering dimensions of women s communication,0.6666666666666666
Interpersonal Deception Theory,[CITATION] Interpesonal Deception Theory (Communication Theory),10.1111/j.1468-2885.1996.tb00127.x,1996,"https://scholar.google.com/scholar?cites=7245669874972184217&as_sdt=5,50&sciodt=0,50&hl=en",2,interpersonal deception theory,interpesonal deception theory communication theory,0.725
lnterpersonal Deception Theory: Theories About Deception and Paradigms for Studying It: A Critical Appraisal of Buller and Burgoon's lnterpersonal Deception Theory and Research,[CITATION] lnterpersonal Deception Theory: Theories About Deception and Paradigms for Studying It: A Critical Appraisal of Buller and Burgoon's lnterpersonal …,10.1111/j.1468-2885.1996.tb00131.x,1996,"https://scholar.google.com/scholar?cites=2272128016739966774&as_sdt=5,50&sciodt=0,50&hl=en",5,lnterpersonal deception theory theories about deception and paradigms for studying it a critical appraisal of buller and burgoon s lnterpersonal deception theory and research,lnterpersonal deception theory theories about deception and paradigms for studying it a critical appraisal of buller and burgoon s lnterpersonal,0.9056603773584906
Interpersonal Deception Theory: Reflections on the Nature of Theory Building and the Theoretical Status of Interpersonal Deception Theory,Interpersonal deception theory,10.1111/j.1468-2885.1996.tb00132.x,1996,"https://scholar.google.com/scholar?cites=15970180783398410912&as_sdt=5,50&sciodt=0,50&hl=en",1647,interpersonal deception theory reflections on the nature of theory building and the theoretical status of interpersonal deception theory,interpersonal deception theory,0.3614457831325301
The Ecology of Games:The Ecology of Games and Its Enemies,Ecologies of games shaping large technical systems: Cases from telecommunications to the Internet,10.1111/j.1468-2885.1995.tb00116.x,1995,"https://scholar.google.com/scholar?cites=14503292442969378849&as_sdt=5,50&sciodt=0,50&hl=en",15,the ecology of games the ecology of games and its enemies,ecologies of games shaping large technical systems cases from telecommunications to the internet,0.3006535947712418
"No Respect? Disciplinarity and Media Studies in Communication
Feminist Communication Scholarship and “the Woman Question” in the Academy",[CITATION] No Respect? Disciplinarity and Media Studies in Communication Introduction: For The Study of Communication and Against the Discipline of …,10.1111/j.1468-2885.1995.tb00103.x,1995,"https://scholar.google.com/scholar?cites=5472971096905508365&as_sdt=5,50&sciodt=0,50&hl=en",29,no respect disciplinarity and media studies in communication feminist communication scholarship and the woman question in the academy,no respect disciplinarity and media studies in communication introduction for the study of communication and against the discipline of,0.7116104868913857
"No Respect? Disciplinarity and Media Studies in Communication
Media Communications vs. Cultural Studies: Overcoming the Divide",[CITATION] No Respect? Disciplinarity and Media Studies in Communication Introduction: For The Study of Communication and Against the Discipline of …,10.1111/j.1468-2885.1995.tb00104.x,1995,"https://scholar.google.com/scholar?cites=5472971096905508365&as_sdt=5,50&sciodt=0,50&hl=en",29,no respect disciplinarity and media studies in communication media communications vs cultural studies overcoming the divide,no respect disciplinarity and media studies in communication introduction for the study of communication and against the discipline of,0.708171206225681
The “Connected” Caregivers: Exploring the Interplay of Left-Behind Women’s Socio-Structural Immobilities and Communicative Mobilities in Transnational Power Geometries,[PDF] The “Connected” Caregivers: Exploring the Interplay of Left-Behind Women's Socio-Structural Immobilities and Communicative Mobilities in Transnational …,10.1093/jcmc/zmac003,2022,"https://scholar.google.com/scholar?cites=1928362336783466238&as_sdt=5,50&sciodt=0,50&hl=en",1,the connected caregivers exploring the interplay of left behind women s socio structural immobilities and communicative mobilities in transnational power geometries,the connected caregivers exploring the interplay of left behind women s socio structural immobilities and communicative mobilities in transnational,0.9453376205787781
Technical Features of Asynchronous and Synchronous Community Platforms and their Effects on Community Cohesion: A Comparative Study of Forum-based and Chat-based Online Mental Health Communities,Technical Features of Asynchronous and Synchronous Community Platforms and their Effects on Community Cohesion: A Comparative Study of Forum-based and …,10.1093/jcmc/zmab016,2021,"https://scholar.google.com/scholar?cites=8652122271198123806&as_sdt=5,50&sciodt=0,50&hl=en",2,technical features of asynchronous and synchronous community platforms and their effects on community cohesion a comparative study of forum based and chat based online mental health communities,technical features of asynchronous and synchronous community platforms and their effects on community cohesion a comparative study of forum based and,0.8713450292397661
The Relationship between Cyberbalkanization and Opinion Polarization: Time-Series Analysis on Facebook Pages and Opinion Polls during the Hong Kong Occupy Movement and the Associated Debate on Political Reform,The relationship between cyberbalkanization and opinion polarization: Time-series analysis on Facebook pages and opinion polls during the Hong Kong Occupy …,10.1111/jcc4.12192,2017,"https://scholar.google.com/scholar?cites=4862892029207352251&as_sdt=5,50&sciodt=0,50&hl=en",71,the relationship between cyberbalkanization and opinion polarization time series analysis on facebook pages and opinion polls during the hong kong occupy movement and the associated debate on political reform,the relationship between cyberbalkanization and opinion polarization time series analysis on facebook pages and opinion polls during the hong kong occupy,0.8476454293628809
The Double-Edged Sword: The Effects of Journalists' Social Media Activities on Audience Perceptions of Journalists and Their News Products,[BOOK] The Effects of Journalists' Social Media Activities on Audience Perceptions of Journalists and their News Products,10.1111/jcc4.12113,2015,"https://scholar.google.com/scholar?q=related:Xw--adE1gp4J:scholar.google.com/&scioq=The+Double-Edged+Sword:+The+Effects+of+Journalists%27+Social+Media+Activities+on+Audience+Perceptions+of+Journalists+and+Their+News+Products,+Journal+of+Computer-Mediated+Communication,+Jayeon+Lee&hl=en&as_sdt=0,50",0,the double edged sword the effects of journalists social media activities on audience perceptions of journalists and their news products,book the effects of journalists social media activities on audience perceptions of journalists and their news products,0.9133858267716536
Cultivating Social Resources on Social Network Sites: Facebook Relationship Maintenance Behaviors and Their Role in Social Capital Processes,[PDF] Network Sites: Facebook Relationship Maintenance Behaviors and Their Role in Social Capital Processes. Journal of Computer-Mediated Communication.,10.1111/jcc4.12078,2014,"https://scholar.google.com/scholar?q=related:vwcvL6JyBoQJ:scholar.google.com/&scioq=Cultivating+Social+Resources+on+Social+Network+Sites:+Facebook+Relationship+Maintenance+Behaviors+and+Their+Role+in+Social+Capital+Processes,+Journal+of+Computer-Mediated+Communication,+Nicole+B.+Ellison&hl=en&as_sdt=0,50",0,cultivating social resources on social network sites facebook relationship maintenance behaviors and their role in social capital processes,network sites facebook relationship maintenance behaviors and their role in social capital processes journal of computer mediated communication,0.7092198581560284
The Aceh Besar midwives with mobile phones project: Design and evaluation perspectives using the information and communication technologies for healthcare development model,The Aceh Besar midwives with mobile phones project: Design and evaluation perspectives using the information and communication technologies for healthcare …,10.1111/j.1083-6101.2010.01515.x,2010,"https://scholar.google.com/scholar?cites=8772066352018578227&as_sdt=5,50&sciodt=0,50&hl=en",180,the aceh besar midwives with mobile phones project design and evaluation perspectives using the information and communication technologies for healthcare development model,the aceh besar midwives with mobile phones project design and evaluation perspectives using the information and communication technologies for healthcare,0.9444444444444444
"The Faces of Facebookers: Investigating Social Enhancement and Social Compensation Hypotheses; Predicting Facebook™ and Offline Popularity from Sociability and Self-Esteem, and Mapping the Meanings of Popularity with Semantic Networks",The faces of Facebookers: Investigating social enhancement and social compensation hypotheses; predicting Facebook™ and offline popularity from sociability and …,10.1111/j.1083-6101.2008.01429.x,2008,"https://scholar.google.com/scholar?cites=15592311603381234619&as_sdt=5,50&sciodt=0,50&hl=en",1030,the faces of facebookers investigating social enhancement and social compensation hypotheses predicting facebook and offline popularity from sociability and self esteem and mapping the meanings of popularity with semantic networks,the faces of facebookers investigating social enhancement and social compensation hypotheses predicting facebook and offline popularity from sociability and,0.8082901554404145
"Researching Internet-Based Populations: Advantages and Disadvantages of Online Survey Research, Online Questionnaire Authoring Software Packages, and Web Survey Services","Researching Internet-based populations: Advantages and disadvantages of online survey research, online questionnaire authoring software packages, and web …",10.1111/j.1083-6101.2005.tb00259.x,2005,"https://scholar.google.com/scholar?cites=15623791579523961397&as_sdt=5,50&sciodt=0,50&hl=en",4093,researching internet based populations advantages and disadvantages of online survey research online questionnaire authoring software packages and web survey services,researching internet based populations advantages and disadvantages of online survey research online questionnaire authoring software packages and web,0.9493670886075949
“a Funky Language for Teenzz to Use:” Representing Gulf Arabic in Instant Messaging,A funky language for teenzz to use,10.1111/j.1083-6101.2003.tb00355.x,2003,"https://scholar.google.com/scholar?cites=4421945435662692511&as_sdt=5,50&sciodt=0,50&hl=en",108,a funky language for teenzz to use representing gulf arabic in instant messaging,a funky language for teenzz to use,0.5964912280701754
"Jcmc Volume 9, Issue 1: the Multilingual Internet. Apec Multilingual International Trade Project: Methodology and Case Reports on Needs Assessment",[CITATION] Apec multilingual international trade project: Methodology and case reports on needs assessment,10.1111/j.1083-6101.2003.tb00363.x,2003,"https://scholar.google.com/scholar?cites=6166076603200035335&as_sdt=5,50&sciodt=0,50&hl=en",8,jcmc volume issue the multilingual internet apec multilingual international trade project methodology and case reports on needs assessment,apec multilingual international trade project methodology and case reports on needs assessment,0.8103448275862069
Networked Interactivity,[CITATION] Networked Interactivity Journal of Computer Mediated Communication,10.1111/j.1083-6101.1997.tb00201.x,1997,"https://scholar.google.com/scholar?cites=10409228914954232551&as_sdt=5,50&sciodt=0,50&hl=en",5,networked interactivity,networked interactivity journal of computer mediated communication,0.5168539325842697
Customary Law & Power in Internet Communities,The Geneva Conventions as customary law,10.1111/j.1083-6101.1996.tb00182.x,1996,"https://scholar.google.com/scholar?cites=10554228552990132471&as_sdt=5,50&sciodt=0,50&hl=en",515,customary law power in internet communities,the geneva conventions as customary law,0.3170731707317073
The Internet as Mass Medium,[CITATION] The Internet as Mass Medium Journal of Computer-Mediated Communication,10.1111/j.1083-6101.1996.tb00174.x,1996,"https://scholar.google.com/scholar?cites=12964813971526476227&as_sdt=5,50&sciodt=0,50&hl=en",8,the internet as mass medium,the internet as mass medium journal of computer mediated communication,0.5567010309278351
The Internet and U. S. Communication Policy-Making in Historical and Critical Perspective: McChesney,The internet and US communication policy-making in historical and critical perspective.,10.1111/j.1083-6101.1996.tb00177.x,1996,"https://scholar.google.com/scholar?cites=9968802015027396555&as_sdt=5,50&sciodt=0,50&hl=en",318,the internet and u s communication policy making in historical and critical perspective mcchesney,the internet and us communication policy making in historical and critical perspective,0.9398907103825137
"From 〈Bonehead〉 to 〈cLoNehEad〉: Nicknames, Play, and Identity on Internet Relay Chat","[CITATION] From< Bonehead> to< cLoNehEAd>: Nicknames, Play and Identityon Internet Relay Chat [Electronoc resource]",10.1111/j.1083-6101.1995.tb00325.x,1995,"https://scholar.google.com/scholar?cites=6729917923988909396&as_sdt=5,50&sciodt=0,50&hl=en",2,from bonehead to clonehead nicknames play and identity on internet relay chat,from bonehead to clonehead nicknames play and identityon internet relay chat electronoc resource,0.8786127167630058
Making #BlackLivesMatter in the Shadow of Selma: Collective Memory and Racial Justice Activism in U.S. News,[BOOK] Making is connecting,10.1093/ccc/tcab007,2021,"https://scholar.google.com/scholar?cites=2620452955889434842&as_sdt=5,50&sciodt=0,50&hl=en",1857,making blacklivesmatter in the shadow of selma collective memory and racial justice activism in u s news,book making is connecting,0.26356589147286824
#MeToo and the Politics of Collective Healing: Emotional Connection as Contestation,Advances in molecular quantum chemistry contained in the Q-Chem 4 program package,10.1093/ccc/tcz032,2020,"https://scholar.google.com/scholar?cites=10921705582866784178&as_sdt=5,50&sciodt=0,50&hl=en",2629,metoo and the politics of collective healing emotional connection as contestation,advances in molecular quantum chemistry contained in the q chem program package,0.1875
Remaking the #Syllabus: Crowdsourcing Resistance Praxis as Critical Public Pedagogy,Remaking the modern,10.1093/ccc/tcaa017,2020,"https://scholar.google.com/scholar?cites=3502832105095252818&as_sdt=5,50&sciodt=0,50&hl=en",435,remaking the syllabus crowdsourcing resistance praxis as critical public pedagogy,remaking the modern,0.3
#ThisEndsHere: Confronting Sexual Assault and Harassment in Our Campus Communities,User profiles for b,10.1093/ccc/tcy016,2018,"https://scholar.google.com/scholar?cites=3757890252150429594&as_sdt=5,50&sciodt=0,50&hl=en",2996,thisendshere confronting sexual assault and harassment in our campus communities,user profiles for b,0.2222222222222222
Toxic Identification: #Twinks4Trump and the Homonationalist Rearticulation of Queer Vernacular Rhetoric,Jatropha curcas toxicity: identification of toxic principle (s).,10.1093/ccc/tcx006,2018,"https://scholar.google.com/scholar?cites=1865279692605317981&as_sdt=5,50&sciodt=0,50&hl=en",150,toxic identification twinks trump and the homonationalist rearticulation of queer vernacular rhetoric,jatropha curcas toxicity identification of toxic principle s,0.36024844720496896
"#nolitetebastardescarborundorum: Self-Publishing, Hashtag Activism, and Feminist Resistance",Advances in molecular quantum chemistry contained in the Q-Chem 4 program package,10.1093/ccc/tcx016,2018,"https://scholar.google.com/scholar?cites=10921705582866784178&as_sdt=5,50&sciodt=0,50&hl=en",2629,nolitetebastardescarborundorum self publishing hashtag activism and feminist resistance,advances in molecular quantum chemistry contained in the q chem program package,0.08433734939759036
